experiment,start_time,dataset,fold,test_accuracy,test_accuracy_dt,test_accuracy_dt_pruned,test_accuracy_cm,data_dir,temperature,layer_type,aggregation_mode,nonlinearity,evaluation_nonlinearity,concept_embedding_size,concept_temperature,a,dropout,use_batch_norm,hidden_units,state_size,num_layers,skip_connection,bounding_parameter,batch_size,device,train_decision_tree,max_leaf_nodes,learning_rate,max_epochs,num_cv,entropy_loss_scaling,early_stopping,loss_mode,num_recurrent_iterations,teacher_max_epochs,train_concept_model,student_layer_type,student_aggregation_mode,concept_memory_disjunctions
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,0,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,1,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,2,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,3,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,4,0.9990000128746033,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,5,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,6,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,7,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,8,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
MultiLayerAblation - Bronze Age (MLP),02_04_25_17_45,Infection,9,1.0,,,,downloads,1.0,mlp,bronze_age,gumbel_softmax,gumbel_softmax,128,0.5,10.0,0.0,True,16,6,1,False,10,128,mps,False,100,0.01,1500,10,0.2,True,cross_entropy,1,15,False,memory-based-concept-reasoner,bronze_age_rounded,4
